1	NA
.	AJ
Frá	NC
Auði	NC
djúpúðgu	AJ
ok	CC
Vífli	NC
.	AJ


	NC
Óláfr	NC
hét	VB
herkonungr	NP
,	-
er	RP
kallaðr	VB
var	VB
Óláfr	NC
hvíti	AJ
.	NC
Hann	NC
var	VB
sonr	NC
Ingjalds	NC
konungs	NC
Helgasonar	NC
,	-
Óláfssonar	NP
,	-
Guðröðarsonar	NC
,	-
Hálfdanarsonar	AJ
hvítbeins	NC
Upplendingakonungs	VB
.	NC

	VB
Óláfr	NC
herjaði	VB
í	AP
vestrvíking	NC
ok	CU
vann	VB
Dyflinni	AV
á	AP
Írlandi	NC
ok	CC
Dyflinnarskíri	VB
.	AJ
Þar	NC
gerðist	VB
hann	PE
konungr	NC
yfir	AP
.	PI
Hann	NC
fekk	VB
Auðar	NC
djúpúðgu	AJ
,	-
dóttur	NC
Ketils	DP
flatnefs	AJ
,	-
Bjarnarsonar	AV
bunu	VB
,	-
ágæts	VB
manns	NC
ór	AP
Nóregi	DQ
.	NC
Þorsteinn	NC
rauðr	VB
hét	VB
sonr	NC
þeira	DD
.	NC

	VB
Óláfr	NC
fell	VB
á	AP
Írlandi	NC
í	AP
orrostu	NC
,	-
en	CU
Auðr	NC
ok	CC
Þorsteinn	AV
fóru	VB
þá	AV
í	AP
Suðreyjar	NC
.	AJ
Þar	NC
fekk	VB
Þorsteinn	PE
Þuríðar	AV
,	-
dóttur	NC
Eyvindar	PE
Austmanns	VP
,	-
systur	NC
Helga	DD
ins	DD
magra	AJ
.	NC
Þau	NP
áttu	VB
mörg	AJ
börn	NC
.	NC

	VB
Þorsteinn	CS
gerðist	VB
herkonungr	VB
.	PI
Hann	NC
réðst	VB
til	AP
lags	NC
með	AP
Sigurði	NC
jarli	NC
inum	DD
ríka	AJ
,	-
syni	VB
Eysteins	AJ
glumru	NC
.	NC
Þeir	NC
unnu	VB
Katanes	NC
ok	CC
Suðrland	NC
,	-
Ross	NC
ok	CC
Meræfi	AV
ok	CC
meir	AV
en	CC
hálft	AJ
Skotland	NC
.	UA
Gerðist	NC
Þorsteinn	PE
þar	AV
konungr	NC
yfir	VP
,	-
áðr	AV
Skotar	AV
sviku	VB
hann	PE
,	-
ok	CC
fell	VB
hann	PE
þar	AV
í	AP
orrostu	NC
.	NC

	VB
Auðr	AJ
var	VB
þá	AV
á	AP
Katanesi	NP
,	-
er	RP
hon	PE
spurði	VB
fall	NC
Þorsteins	NC
.	NC
Hon	NC
lét	VB
þá	AV
gera	VB
knörr	NC
í	AP
skógi	NC
á	AP
laun	NC
,	-
ok	CC
er	CU
hon	PE
var	VB
búin	VB
,	-
helt	VB
hon	PE
út	AV
í	AP
Orkneyjar	NC
.	NC
Þar	NC
gifti	VB
hon	PE
Gró	NP
,	-
dóttur	NC
Þorsteins	NC
rauðs	UA
.	NC
Hon	NC
var	VB
móðir	NC
Grélaðar	DD
,	-
er	RP
Þorfinnr	NP
jarl	NC
hausakljúfr	NC
átti	VB
.	NC

	VB
Eftir	AV
þat	DD
fór	VB
Auðr	AJ
at	IM
leita	VB
Íslands	AV
.	AJ
Hon	NC
hafði	VB
á	AP
skipi	NC
tuttugu	NA
karla	NC
frjálsa	AJ
.	NC
Auðr	NC
kom	VB
til	AP
Íslands	NC
ok	CC
var	VB
inn	DD
fyrsta	NO
